speakerid,mean_sim,lastname,firstname,chamber,state,gender,party,district,nonvoting,session
99112600,-0.0351672272126374,MCCOLLUM,BILL,H,FL,M,R,5,voting,99
99112641,-0.052870755910582,MURKOWSKI,FRANK,S,AK,M,R,,voting,99
99112651,-0.0547356532890288,NICKLES,DON,S,OK,M,R,,voting,99
99112660,0.000446760876923076,PACKARD,RON,H,CA,M,R,43,voting,99
99112690,0.00961643860208791,PORTER,JOHN,H,IL,M,R,10,voting,99
99112710,-0.0478646240990843,VENTO,BRUCE,H,MN,M,D,4,voting,99
99112730,-0.0540853926653846,WISE,ROBERT,H,WV,M,D,3,voting,99
99112760,-0.0154157225199176,ARMEY,RICHARD,H,TX,M,R,26,voting,99
99112830,0.00620925336550459,BONIOR,DAVID,H,MI,M,D,12,voting,99
99112840,-0.0575553511176471,BORSKI,ROBERT,H,PA,M,D,3,voting,99
99112870,-0.0293108287136364,CALLAHAN,H.,H,AL,M,R,1,voting,99
99112950,-0.0172483603888889,COYNE,WILLIAM,H,PA,M,D,14,voting,99
99112970,-0.00482792916888889,DEWINE,MICHAEL,H,OH,M,R,7,voting,99
99113010,-0.0148090709403941,GEKAS,GEORGE,H,PA,M,R,17,voting,99
99113020,0.014121558443168,GILMAN,BENJAMIN,H,NY,M,R,22,voting,99
99113040,-0.00823095048695652,HALL,TONY,H,OH,M,D,3,voting,99
99113050,-0.00376482484456204,HANSEN,JAMES,H,UT,M,R,1,voting,99
99113100,-0.03485432969837,JEFFORDS,JAMES,H,VT,M,R,0,voting,99
99113120,-0.0766949092397436,LAFALCE,JOHN,H,NY,M,D,32,voting,99
99113200,-0.0355450302853333,MOAKLEY,JOHN,H,MA,M,D,9,voting,99
99113260,-0.0153248691905769,ROUKEMA,MARGE,H,NJ,F,R,5,voting,99
